keys,en,mi,es,de,ru,ja,ar,hi
Change canvas position,Change canvas position,Huri tūnga papa,Cambiar posición del lienzo,Canvas-Position ändern,Изменить положение холста,キャンバス位置を変更,تغيير موضع اللوحة,कैनवास स्थिति बदलें
Change layer size,Change layer size,Huri rahi paparanga,Cambiar tamaño de capa,Ebenengröße ändern,Изменить размер слоя,レイヤーサイズを変更,تغيير حجم الطبقة,परत आकार बदलें
Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1,Channel 1
Channels: {0},Channels: {0},Ngā hongere: {0},Canales: {0},Kanäle: {0},Каналы: {0},チャンネル: {0},القنوات: {0},चैनल: {0}
Check File Presence,Check File Presence,Tirohia te noho o ngā kōnae,Comprobar presencia de archivos,Dateivorhandensein prüfen,Проверить файлы,ファイルの有無を確認,التحقق من وجود الملف,फ़ाइल मौजूदगी जाँचें
Check for updates when Cue2 starts,Check for updates when Cue2 starts,Check for updates when Cue2 starts,Check for updates when Cue2 starts,Check for updates when Cue2 starts,Check for updates when Cue2 starts,Check for updates when Cue2 starts,Check for updates when Cue2 starts,Check for updates when Cue2 starts
Check GitHub Releases for a newer Cue2. Install never runs during playback.,Check GitHub Releases for a newer Cue2. Install never runs during playback.,Check GitHub Releases for a newer Cue2. Install never runs during playback.,Check GitHub Releases for a newer Cue2. Install never runs during playback.,Check GitHub Releases for a newer Cue2. Install never runs during playback.,Check GitHub Releases for a newer Cue2. Install never runs during playback.,Check GitHub Releases for a newer Cue2. Install never runs during playback.,Check GitHub Releases for a newer Cue2. Install never runs during playback.,Check GitHub Releases for a newer Cue2. Install never runs during playback.
Check Now,Check Now,Check Now,Check Now,Check Now,Check Now,Check Now,Check Now,Check Now
Checking for updates…,Checking for updates…,Checking for updates…,Checking for updates…,Checking for updates…,Checking for updates…,Checking for updates…,Checking for updates…,Checking for updates…
Checking showfile…,Checking showfile…,E tirotiro ana i te kōnae whakaaturanga…,Comprobando el archivo de show…,Showfile wird geprüft…,Проверка шоу-файла…,ショーファイルを確認中…,جارٍ فحص ملف العرض…,शोफ़ाइल जाँच हो रही है…
Choose which settings categories are included when saving or loading a settings file,Choose which settings categories are included when saving or loading a settings file,Choose which settings categories are included when saving or loading a settings file,Choose which settings categories are included when saving or loading a settings file,Choose which settings categories are included when saving or loading a settings file,Choose which settings categories are included when saving or loading a settings file,Choose which settings categories are included when saving or loading a settings file,Choose which settings categories are included when saving or loading a settings file,Choose which settings categories are included when saving or loading a settings file
Choose which weekdays the clock trigger may fire.,Choose which weekdays the clock trigger may fire.,Kōwhiria ngā rā o te wiki e āhei ai te pūtake karaka.,Elige los días de la semana en que puede disparar el reloj.,"Wochentage wählen, an denen der Uhr-Auslöser feuern darf.","Выберите дни недели, когда срабатывает часовой триггер.",時計トリガーが発火してよい曜日を選びます。,اختر أيام الأسبوع التي قد يطلق فيها محفّز الساعة.,"घड़ी ट्रिगर किन सप्ताह के दिनों में चले, चुनें।"
"Choose which weekdays the clock trigger may fire.
Current: ","Choose which weekdays the clock trigger may fire.
Current: ","Choose which weekdays the clock trigger may fire.
Current: ","Choose which weekdays the clock trigger may fire.
Current: ","Choose which weekdays the clock trigger may fire.
Current: ","Choose which weekdays the clock trigger may fire.
Current: ","Choose which weekdays the clock trigger may fire.
Current: ","Choose which weekdays the clock trigger may fire.
Current: ","Choose which weekdays the clock trigger may fire.
Current: "
Clear,Clear,Ūkui,Borrar,Leeren,Очистить,クリア,مسح,साफ़ करें
Clear binding,Clear binding,Ūkui here,Borrar asignación,Bindung löschen,Сбросить привязку,バインドをクリア,مسح الربط,बाइंडिंग साफ़ करें
Clear logs,Clear logs,Ūkui rātaka,Borrar registros,Protokolle leeren,Очистить журнал,ログをクリア,مسح السجلات,लॉग साफ़ करें
Clear MIDI binding,Clear MIDI binding,Ūkui here MIDI,Borrar asignación MIDI,MIDI-Bindung löschen,Сбросить MIDI,MIDI バインドをクリア,مسح ربط MIDI,MIDI बाइंडिंग साफ़ करें
Clear OSC binding (no OSC for this action),Clear OSC binding (no OSC for this action),Ūkui here OSC (kāore he OSC mō tēnei mahi),Borrar asignación OSC (sin OSC para esta acción),OSC-Bindung löschen (kein OSC für diese Aktion),Сбросить OSC (без OSC для этого действия),OSC バインドをクリア（この操作に OSC なし）,مسح ربط OSC (لا OSC لهذا الإجراء),OSC बाइंडिंग साफ़ करें (इस क्रिया के लिए OSC नहीं)
Clear Recent,Clear Recent,Ūkui nā nātata,Borrar recientes,Zuletzt verwendet leeren,Очистить недавние,最近使った項目をクリア,مسح الأخيرة,हालिया साफ़ करें
Clear target,Clear target,Ūkui ūnga,Borrar destino,Ziel löschen,Сбросить цель,ターゲットをクリア,مسح الهدف,लक्ष्य साफ़ करें
Click a binding to reassign. Press Esc to cancel. ,Click a binding to reassign. Press Esc to cancel. ,Click a binding to reassign. Press Esc to cancel. ,Click a binding to reassign. Press Esc to cancel. ,Click a binding to reassign. Press Esc to cancel. ,Click a binding to reassign. Press Esc to cancel. ,Click a binding to reassign. Press Esc to cancel. ,Click a binding to reassign. Press Esc to cancel. ,Click a binding to reassign. Press Esc to cancel. 
Click or drag to set the playhead,Click or drag to set the playhead,"Pāwhiri, tō rānei kia tautu te upoko purei",Clic o arrastre para poner el cabezal,"Klicken oder ziehen, um den Playhead zu setzen","Щёлкните или перетащите, чтобы поставить курсор воспроизведения",クリックまたはドラッグで再生ヘッドを設定,انقر أو اسحب لتعيين رأس التشغيل,प्लेहेड सेट करने के लिए क्लिक या खींचें
Click to capture MIDI binding. Esc cancels.,Click to capture MIDI binding. Esc cancels.,Click to capture MIDI binding. Esc cancels.,Click to capture MIDI binding. Esc cancels.,Click to capture MIDI binding. Esc cancels.,Click to capture MIDI binding. Esc cancels.,Click to capture MIDI binding. Esc cancels.,Click to capture MIDI binding. Esc cancels.,Click to capture MIDI binding. Esc cancels.
Click to change binding,Click to change binding,Click to change binding,Click to change binding,Click to change binding,Click to change binding,Click to change binding,Click to change binding,Click to change binding
Click to set hotkey. Esc cancels.,Click to set hotkey. Esc cancels.,Pāwhiritia kia tautu te pātuhi-wera. Ka whakakore a Esc.,Clic para asignar atajo. Esc cancela.,"Klicken, um Tastenkürzel zu setzen. Esc bricht ab.","Нажмите, чтобы задать горячую клавишу. Esc отменяет.",クリックしてホットキーを設定。Esc でキャンセル。,انقر لتعيين مفتاح الاختصار. Esc يلغي.,हॉटकी सेट करने के लिए क्लिक करें। Esc रद्द करता है।
Clock,Clock,Karaka,Reloj,Uhr,Часы,時計,الساعة,घड़ी
Close all displays,Close all displays,Katia ngā whakaaturanga katoa,Cerrar todas las pantallas,Alle Anzeigen schließen,Закрыть все экраны,すべてのディスプレイを閉じる,إغلاق كل الشاشات,सभी डिस्प्ले बंद करें
Close Displays,Close Displays,Katia ngā whakaaturanga,Cerrar pantallas,Anzeigen schließen,Закрыть экраны,ディスプレイを閉じる,إغلاق الشاشات,डिस्प्ले बंद करें
Close/hide all house display windows without clearing canvas topology. Runtime-only.,Close/hide all house display windows without clearing canvas topology. Runtime-only.,Close/hide all house display windows without clearing canvas topology. Runtime-only.,Close/hide all house display windows without clearing canvas topology. Runtime-only.,Close/hide all house display windows without clearing canvas topology. Runtime-only.,Close/hide all house display windows without clearing canvas topology. Runtime-only.,Close/hide all house display windows without clearing canvas topology. Runtime-only.,Close/hide all house display windows without clearing canvas topology. Runtime-only.,Close/hide all house display windows without clearing canvas topology. Runtime-only.
Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).,Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).,Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).,Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).,Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).,Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).,Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).,Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).,Closed captions from video will show here during playback (static content is still used in the inspector / when CC is off).
Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.,Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.,Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.,Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.,Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.,Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.,Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.,Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.,Closes all display windows without destroying the canvas layout. Cues may still run; video is not shown on house screens.
Codec: {0},Codec: {0},Kounga: {0},Códec: {0},Codec: {0},Кодек: {0},コーデック: {0},الترميز: {0},कोडे़क: {0}
Col,Col,Col,Col,Col,Col,Col,Col,Col
Collapse channels,Collapse channels,Collapse channels,Collapse channels,Collapse channels,Collapse channels,Collapse channels,Collapse channels,Collapse channels
Collapse One Layer,Collapse One Layer,Whakaiti taumata kotahi,Contraer un nivel,Eine Ebene einklappen,Свернуть один уровень,1 階層折りたたむ,طي طبقة واحدة,एक परत समेटें
Colour,Colour,Tae,Color,Farbe,Цвет,色,اللون,रंग
Colour:,Colour:,Tae:,Color:,Farbe:,Цвет:,色:,اللون:,रंग:
Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.,Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.,Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.,Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.,Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.,Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.,Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.,Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.,Comma-separated IPs allowed to send OSC. Empty = allow everyone. Loopback always allowed when list is set.
Confirm,Confirm,Whakaū,Confirmar,Bestätigen,Подтвердить,確認,تأكيد,पुष्टि करें
connected,connected,kua tūhono,conectado,verbunden,подключено,接続済み,متصل,कनेक्टेड
Connected,Connected,Kua tūhono,Conectado,Verbunden,Подключено,接続済み,متصل,कनेक्टेड
Connected Cue-Light will run a blue chase until disabled. ,Connected Cue-Light will run a blue chase until disabled. ,Connected Cue-Light will run a blue chase until disabled. ,Connected Cue-Light will run a blue chase until disabled. ,Connected Cue-Light will run a blue chase until disabled. ,Connected Cue-Light will run a blue chase until disabled. ,Connected Cue-Light will run a blue chase until disabled. ,Connected Cue-Light will run a blue chase until disabled. ,Connected Cue-Light will run a blue chase until disabled. 
Connecting…,Connecting…,E tūhono ana…,Conectando…,Verbinden…,Подключение…,接続中…,جارٍ الاتصال…,कनेक्ट हो रहा है…
Connection,Connection,Hononga,Conexión,Verbindung,Подключение,接続,اتصال,कनेक्शन
Connection controls,Connection controls,Ngā whakahaere hononga,Controles de conexión,Verbindungssteuerung,Управление подключениями,接続コントロール,عناصر الاتصال,कनेक्शन नियंत्रण
Connections,Connections,Hononga,Conexiones,Verbindungen,Подключения,接続,الاتصالات,कनेक्शन
"Connections

No OSC or MIDI connections are currently configured.","Connections

No OSC or MIDI connections are currently configured.","Hononga

Kāore he hononga OSC, MIDI rānei i te whirihora ināianei.","Conexiones

No hay conexiones OSC ni MIDI configuradas.","Verbindungen

Derzeit sind keine OSC- oder MIDI-Verbindungen konfiguriert.","Подключения

OSC или MIDI сейчас не настроены.","接続

OSC / MIDI 接続は設定されていません。","الاتصالات

لا توجد اتصالات OSC أو MIDI مُعدّة حالياً.","कनेक्शन

कोई OSC या MIDI कनेक्शन कॉन्फ़िगर नहीं है।"
Connections:,Connections:,Hononga:,Conexiones:,Verbindungen:,Подключения:,接続:,الاتصالات:,कनेक्शन:
Content,Content,Ihirangi,Contenido,Inhalt,Содержимое,内容,المحتوى,सामग्री
Continue,Continue,Haere tonu,Continuar,Continue,Продолжить,コンティニュー,متابعة,जारी
"Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)","Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)","Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)","Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)","Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)","Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)","Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)","Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)","Continue mode (click to cycle):
None → Auto-continue → Auto-follow
→  Auto-continue (after post-wait)
↳  Auto-follow (after cue completes)"
Continue mode: auto-continue (→) or auto-follow (↳).,Continue mode: auto-continue (→) or auto-follow (↳).,Aratau haere: haere-aunoa (→) tērā rānei whai-aunoa (↳).,Modo continuar: auto-continuar (→) o auto-seguir (↳).,Continue-Modus: Auto-Continue (→) oder Auto-Follow (↳).,Режим продолжения: автопродолжение (→) или автоследование (↳).,コンティニューモード: オートコンティニュー (→) またはオートフォロー (↳)。,وضع المتابعة: متابعة تلقائية (→) أو تتبع تلقائي (↳).,कंटिन्यू मोड: ऑटो-कंटिन्यू (→) या ऑटो-फ़ॉलो (↳)।
"Continue mode: None.
Click to set Auto-continue (→), then Auto-follow (↳).","Continue mode: None.
Click to set Auto-continue (→), then Auto-follow (↳).","Aratau haere: Kore.
Pāwhiritia kia Haere-aunoa (→), kātahi Whai-aunoa (↳).","Modo continuar: Ninguno.
Clic para Auto-continuar (→), luego Auto-seguir (↳).","Continue-Modus: Keine.
Klicken für Auto-Continue (→), dann Auto-Follow (↳).","Режим продолжения: Нет.
Клик: Автопродолжение (→), затем Автоследование (↳).","コンティニューモード: なし。
クリックでオートコンティニュー (→)、次にオートフォロー (↳)。","وضع المتابعة: لا شيء.
انقر لتعيين متابعة تلقائية (→) ثم تتبعاً تلقائياً (↳).","कंटिन्यू मोड: कोई नहीं।
क्लिक करें ऑटो-कंटिन्यू (→), फिर ऑटो-फ़ॉलो (↳)।"
Continue:,Continue:,Haere tonu:,Continuar:,Continue:,Продолжить:,コンティニュー:,متابعة:,जारी:
Continuing after {0},Continuing after {0},E haere tonu ana i muri i {0},Continuando después de {0},Weiter nach {0},Продолжение через {0},{0} 後に続行,المتابعة بعد {0},{0} के बाद जारी
Control,Control,Whakahaere,Control,Steuerung,Управление,コントロール,تحكم,नियंत्रण
Control commands to itself or other cues.,Control commands to itself or other cues.,"Ngā whakahau whakahaere ki a ia anō, ki ētahi tohu kē rānei.",Comandos de control a sí misma u otras cues.,Steuerbefehle an sich selbst oder andere Cues.,Команды управления себе или другим репликам.,自身または他のキューへの制御コマンド。,أوامر تحكم لنفسها أو لإشارات أخرى.,स्वयं या अन्य क्यू को नियंत्रण कमांड।
Copy,Copy,Tārua,Copiar,Kopieren,Копировать,コピー,نسخ,कॉपी
Copy media into library,Copy media into library,Tārua pāpāho ki te puna,Copiar medios a la biblioteca,Medien in die Bibliothek kopieren,Копировать медиа в библиотеку,メディアをライブラリにコピー,نسخ الوسائط إلى المكتبة,मीडिया को लाइब्रेरी में कॉपी करें
Copy media into show,Copy media into show,Tārua pāpāho ki te whakaaturanga,Copiar medios al show,Medien in die Show kopieren,Копировать медиа в шоу,メディアをショーにコピー,نسخ الوسائط إلى العرض,मीडिया को शो में कॉपी करें
Copy Media into Show Folder,Copy Media into Show Folder,Tārua pāpāho ki te kōpaki whakaaturanga,Copiar medios a la carpeta del show,Medien in den Show-Ordner kopieren,Копировать медиа в папку шоу,メディアをショーフォルダにコピー,نسخ الوسائط إلى مجلد العرض,मीडिया को शो फ़ोल्डर में कॉपी करें
Copy media into show folder (Audio/Video/Images).,Copy media into show folder (Audio/Video/Images).,Copy media into show folder (Audio/Video/Images).,Copy media into show folder (Audio/Video/Images).,Copy media into show folder (Audio/Video/Images).,Copy media into show folder (Audio/Video/Images).,Copy media into show folder (Audio/Video/Images).,Copy media into show folder (Audio/Video/Images).,Copy media into show folder (Audio/Video/Images).
Copying 0%,Copying 0%,Tārua 0%,Copiando 0%,Kopieren 0%,Копирование 0%,コピー中 0%,النسخ 0%,कॉपी हो रहा है 0%
Copying {0}%,Copying {0}%,Tārua {0}%,Copiando {0}%,Kopieren {0}%,Копирование {0}%,コピー中 {0}%,النسخ {0}%,कॉपी हो रहा है {0}%
Copyright © 2025-2026 Samuel Moxham,Copyright © 2025-2026 Samuel Moxham,Manatārua © 2025-2026 Samuel Moxham,Copyright © 2025-2026 Samuel Moxham,Copyright © 2025-2026 Samuel Moxham,Copyright © 2025-2026 Samuel Moxham,Copyright © 2025-2026 Samuel Moxham,حقوق النشر © 2025-2026 Samuel Moxham,कॉपीराइट © 2025-2026 Samuel Moxham
Could not check for updates.,Could not check for updates.,Could not check for updates.,Could not check for updates.,Could not check for updates.,Could not check for updates.,Could not check for updates.,Could not check for updates.,Could not check for updates.
Count-In,Count-In,Tatau-mai,Cuenta,Einzählen,Отсчёт,カウントイン,العدّ,काउंट-इन
"Count-In override time. To make count-in = prewait time, enter 0.","Count-In override time. To make count-in = prewait time, enter 0.","Wā takahi tatau-mai. Kia rite te tatau-mai ki te tataritanga-mua, tāuruhia te 0.","Tiempo de anulación de cuenta. Para que cuenta = preespera, introduce 0.",Einzähl-Override. 0 setzt Einzählen = Vorwartezeit.,Переопределение отсчёта. 0 = отсчёт равен пред-паузе.,カウントイン上書き。0 でカウントイン＝プリウェイト。,وقت تجاوز العدّ. أدخل 0 ليساوي العدّ وقت الانتظار المسبق.,काउंट-इन ओवरराइड। 0 दर्ज करें तो काउंट-इन = प्री-वेट।
Count-In:,Count-In:,Tatau-mai:,Cuenta:,Einzählen:,Отсчёт:,カウントイン:,العدّ:,काउंट-इन:
CPU --.-%,CPU --.-%,CPU --.-%,CPU --.-%,CPU --.-%,ЦП --.-%,CPU --.-%,المعالج --.-%,CPU --.-%
CPU usage,CPU usage,Whakamahinga CPU,Uso de CPU,CPU-Auslastung,Загрузка ЦП,CPU 使用率,استخدام المعالج,CPU उपयोग
CPU usage (this process),CPU usage (this process),Whakamahinga CPU (tēnei hātepe),Uso de CPU (este proceso),CPU-Auslastung (dieser Prozess),Загрузка ЦП (этот процесс),CPU 使用率（このプロセス）,استخدام المعالج (هذه العملية),CPU उपयोग (यह प्रक्रिया)
CPU {0}%,CPU {0}%,CPU {0}%,CPU {0}%,CPU {0}%,ЦП {0}%,CPU {0}%,المعالج {0}%,CPU {0}%
Create a folder under the selected library folder.,Create a folder under the selected library folder.,Waihangatia he kōpaki i raro i te kōpaki puna kua tīpakohia.,Crear una carpeta bajo la carpeta de biblioteca seleccionada.,Einen Ordner unter dem ausgewählten Bibliotheksordner anlegen.,Создать папку внутри выбранной папки библиотеки.,選択したライブラリフォルダの下にフォルダを作成。,إنشاء مجلد تحت مجلد المكتبة المحدد.,चयनित लाइब्रेरी फ़ोल्डर के अंतर्गत फ़ोल्डर बनाएँ।
Create Cue,Create Cue,Waihanga tohu,Crear cue,Cue erstellen,Создать реплику,キューを作成,إنشاء إشارة,क्यू बनाएँ
Create Cues,Create Cues,Waihanga tohu,Crear cues,Cues erstellen,Создать реплики,キューを作成,إنشاء إشارات,क्यू बनाएँ
Create each file as child of its own parent cue,Create each file as child of its own parent cue,Waihangatia ia kōnae hei tamaiti o tōna ake tohu matua,Crear cada archivo como hijo de su propia cue padre,Jede Datei als Kind eines eigenen Eltern-Cues anlegen,Каждый файл — дочерний своей родительской реплики,各ファイルを独自の親キューの子として作成,إنشاء كل ملف كابن لإشارته الأصلية,प्रत्येक फ़ाइल को उसके पैरेंट क्यू का चाइल्ड बनाएँ
Create separate cue for each file (recommended),Create separate cue for each file (recommended),Waihangatia he tohu motuhake mō ia kōnae (e taunakitia ana),Crear una cue distinta por archivo (recomendado),Für jede Datei einen eigenen Cue (empfohlen),Отдельная реплика на каждый файл (рекомендуется),ファイルごとに別キュー（推奨）,إشارة منفصلة لكل ملف (موصى به),प्रत्येक फ़ाइल के लिए अलग क्यू (अनुशंसित)
Creating outputs…,Creating outputs…,E hanga ana i ngā putanga…,Creando salidas…,Ausgaben werden erstellt…,Создание выходов…,出力を作成中…,جارٍ إنشاء المخرجات…,आउटपुट बन रहे हैं…
Cue Defaults,Cue Defaults,Taunoa tohu,Valores predeterminados de cue,Cue-Standards,Реплики по умолчанию,キューの既定値,إعدادات الإشارة الافتراضية,क्यू डिफ़ॉल्ट
Cue Editing,Cue Editing,Whakatika tohu,Edición de cues,Cue-Bearbeitung,Редактирование реплик,キュー編集,تحرير الإشارات,क्यू संपादन
Cue id,Cue id,Tāutanga tohu,Id de cue,Cue-ID,ID реплики,キュー ID,معرّف الإشارة,क्यू आईडी
Cue Lights,Cue Lights,Rama tohu,Cue Lights,Cue-Lights,Cue Lights,キューライト,أضواء الإشارة,क्यू लाइट
Cue List Scale,Cue List Scale,Tauine rārangi tohu,Escala de la lista de cues,Cuelisten-Skalierung,Масштаб списка реплик,キューリスト倍率,مقياس قائمة الإشارات,क्यू सूची स्केल
Cue name,Cue name,Ingoa tohu,Nombre de cue,Cue-Name,Имя реплики,キュー名,اسم الإشارة,क्यू नाम
Cue notes…,Cue notes…,Tuhipoka tohu…,Notas de cue…,Cue-Notizen…,Заметки реплики…,キューメモ…,ملاحظات الإشارة…,क्यू नोट्स…
Cue number,Cue number,Tau tohu,Número de cue,Cue-Nummer,Номер реплики,キュー番号,رقم الإشارة,क्यू नंबर
"Cue numbers, shorthand identifier. Does not need to be unique. Max length of 5 characters.","Cue numbers, shorthand identifier. Does not need to be unique. Max length of 5 characters.","Ngā tau tohu, he tohu poto. Ehara i te mea motuhake. 5 pūmatua te mōrahi.","Números de cue, identificador corto. No hace falta que sea único. Máx. 5 caracteres.","Cue-Nummern, Kurzkennung. Muss nicht eindeutig sein. Maximal 5 Zeichen.","Номер реплики, краткий идентификатор. Не обязан быть уникальным. Макс. 5 символов.",キュー番号。一意でなくてよい短い識別子。最大 5 文字。,أرقام الإشارة، معرّف مختصر. لا يلزم أن يكون فريداً. 5 أحرف كحد أقصى.,"क्यू नंबर, संक्षिप्त पहचान। अद्वितीय होना ज़रूरी नहीं। अधिकतम 5 अक्षर।"
"Cue sequence mode for the next cue at the same nesting level.
None: Do not auto-start the next cue.
Auto-continue: After this cue's pre-wait ends, arm the next cue (it shows Continue + this post-wait).
Auto-follow: When this cue completes, arm the next cue (it shows Follow + this post-wait).","Cue sequence mode for the next cue at the same nesting level.
None: Do not auto-start the next cue.
Auto-continue: After this cue's pre-wait ends, arm the next cue (it shows Continue + this post-wait).
Auto-follow: When this cue completes, arm the next cue (it shows Follow + this post-wait).","Aratau raupapa mō te tohu panuku i te taumata ōrite.
Kore: Kaua e tīmata-aunoa i te tohu panuku.
Haere-aunoa: I muri i te tataritanga-mua, whakamaua te tohu panuku (Haere tonu + tēnei tataritanga-muri).
Whai-aunoa: Ina oti tēnei tohu, whakamaua te tohu panuku (Whai + tēnei tataritanga-muri).","Modo de secuencia para la siguiente cue del mismo nivel.
Ninguno: no iniciar automáticamente la siguiente.
Auto-continuar: al terminar la preespera, arma la siguiente (Continuar + esta postespera).
Auto-seguir: al completar esta, arma la siguiente (Seguir + esta postespera).","Sequenzmodus für den nächsten Cue auf derselben Ebene.
Keine: Nächsten Cue nicht automatisch starten.
Auto-Continue: Nach Ende der Vorwartezeit den nächsten Cue scharf schalten (zeigt Continue + diese Nachwartezeit).
Auto-Follow: Wenn dieser Cue endet, nächsten Cue scharf schalten (zeigt Follow + diese Nachwartezeit).","Режим последовательности для следующей реплики того же уровня.
Нет: не запускать следующую автоматически.
Автопродолжение: после пред-паузы взвести следующую (Continue + эта пост-пауза).
Автоследование: по завершении этой взвести следующую (Follow + эта пост-пауза).","同じ階層の次キューのシーケンスモード。
なし: 次を自動開始しない。
オートコンティニュー: プリウェイト終了後に次をアーム（Continue + このポストウェイト）。
オートフォロー: このキュー完了時に次をアーム（Follow + このポストウェイト）。","وضع التسلسل للإشارة التالية في نفس المستوى.
لا شيء: لا تبدأ التالية تلقائياً.
متابعة تلقائية: بعد انتهاء الانتظار المسبق تُسلَّح التالية (متابعة + هذا الانتظار اللاحق).
تتبع تلقائي: عند اكتمال هذه تُسلَّح التالية (تتبع + هذا الانتظار اللاحق).","समान स्तर के अगले क्यू का अनुक्रम मोड।
कोई नहीं: अगला स्वतः शुरू न करें।
ऑटो-कंटिन्यू: प्री-वेट के बाद अगला आर्म (Continue + यह पोस्ट-वेट)।
ऑटो-फ़ॉलो: यह क्यू पूरा होने पर अगला आर्म (Follow + यह पोस्ट-वेट)।"
Cue's current level. Edit to add this cell to the multi-cell fade set.,Cue's current level. Edit to add this cell to the multi-cell fade set.,Cue's current level. Edit to add this cell to the multi-cell fade set.,Cue's current level. Edit to add this cell to the multi-cell fade set.,Cue's current level. Edit to add this cell to the multi-cell fade set.,Cue's current level. Edit to add this cell to the multi-cell fade set.,Cue's current level. Edit to add this cell to the multi-cell fade set.,Cue's current level. Edit to add this cell to the multi-cell fade set.,Cue's current level. Edit to add this cell to the multi-cell fade set.
Cue-2 is a simple and free playback software for events.,Cue-2 is a simple and free playback software for events.,Cue-2 is a simple and free playback software for events.,Cue-2 is a simple and free playback software for events.,Cue-2 is a simple and free playback software for events.,Cue-2 is a simple and free playback software for events.,Cue-2 is a simple and free playback software for events.,Cue-2 is a simple and free playback software for events.,Cue-2 is a simple and free playback software for events.
Cue2,Cue2,Cue2,Cue2,Cue2,Cue2,Cue2,Cue2,Cue2
Cue2 ,Cue2 ,Cue2 ,Cue2 ,Cue2 ,Cue2 ,Cue2 ,Cue2 ,Cue2 
Cue2 is up to date.,Cue2 is up to date.,Cue2 is up to date.,Cue2 is up to date.,Cue2 is up to date.,Cue2 is up to date.,Cue2 is up to date.,Cue2 is up to date.,Cue2 is up to date.
Cue2 Log,Cue2 Log,Rātaka Cue2,Registro de Cue2,Cue2-Protokoll,Журнал Cue2,Cue2 ログ,سجل Cue2,Cue2 लॉग
Cue2 Preferences,Cue2 Preferences,Manakohanga Cue2,Preferencias de Cue2,Cue2-Einstellungen,Настройки Cue2,Cue2 の環境設定,تفضيلات Cue2,Cue2 वरीयताएँ
Cue2 Settings,Cue2 Settings,Tautuhinga Cue2,Ajustes de Cue2,Cue2-Einstellungen,Параметры Cue2,Cue2 設定,إعدادات Cue2,Cue2 सेटिंग्स
Cue2 {0} is available.,Cue2 {0} is available.,Cue2 {0} is available.,Cue2 {0} is available.,Cue2 {0} is available.,Cue2 {0} is available.,Cue2 {0} is available.,Cue2 {0} is available.,Cue2 {0} is available.
Cue2 {0} is downloaded and ready to install.,Cue2 {0} is downloaded and ready to install.,Cue2 {0} is downloaded and ready to install.,Cue2 {0} is downloaded and ready to install.,Cue2 {0} is downloaded and ready to install.,Cue2 {0} is downloaded and ready to install.,Cue2 {0} is downloaded and ready to install.,Cue2 {0} is downloaded and ready to install.,Cue2 {0} is downloaded and ready to install.
Cues,Cues,Tohu,Cues,Cues,Реплики,キュー,الإشارات,क्यू
Cut,Cut,Tapahi,Cortar,Ausschneiden,Вырезать,切り取り,قص,कट
